Model,Dataset,Mode,Percentage,Hit Ratio@10,Precision@10,Recall@10,NDCG@10,Hit Ratio@20,Precision@20,Recall@20,NDCG@20,Hit Ratio@40,Precision@40,Recall@40,NDCG@40
HCCF,ml-1m,missing,20,0.05501,0.22815,0.08853,0.26082,0.09881,0.2049,0.15192,0.25961,0.17085,0.17714,0.24647,0.27728
HCCF,ml-1m,missing,30,0.04853,0.20125,0.08013,0.22753,0.08624,0.17883,0.13423,0.22613,0.14933,0.15482,0.21791,0.24291
HCCF,ml-1m,missing,40,0.04182,0.17345,0.06676,0.19094,0.07654,0.15873,0.11744,0.19479,0.13318,0.13809,0.19332,0.21134
HCCF,ml-1m,missing,50,0.03273,0.13575,0.051,0.15203,0.05979,0.12398,0.08965,0.15279,0.10819,0.11217,0.15599,0.16952
HGNN,lastfm,add_noise,10,0.07869,0.09708,0.07927,0.11946,0.12872,0.0794,0.12952,0.13442,0.20125,0.06207,0.20125,0.17111
HGNN,lastfm,add_noise,20,0.07968,0.09825,0.08083,0.13245,0.13337,0.08223,0.13406,0.14684,0.20159,0.06214,0.2014,0.18091
HGNN,lastfm,add_noise,30,0.07723,0.09532,0.07758,0.11298,0.12378,0.07638,0.12481,0.12636,0.18761,0.05789,0.18934,0.15912
HGNN,lastfm,add_noise,40,0.06555,0.08086,0.06739,0.10567,0.11045,0.06813,0.11205,0.11923,0.17031,0.05253,0.17281,0.14979
HGNN,lastfm,add_noise,50,0.05654,0.06971,0.05677,0.08861,0.09605,0.05922,0.09675,0.10195,0.15177,0.04679,0.15309,0.13158
HGNN,lastfm,cold_start,1,0.13254,0.11643,0.13298,0.16141,0.2015,0.0885,0.20149,0.20093,0.28892,0.06345,0.28874,0.24067
HGNN,lastfm,missing,10,0.12178,0.15016,0.12334,0.19016,0.18698,0.11528,0.18868,0.20371,0.27243,0.08398,0.27386,0.24663
HGNN,lastfm,missing,20,0.10761,0.13275,0.10886,0.16482,0.16591,0.10234,0.16707,0.17813,0.24827,0.07657,0.249,0.21964
HGNN,lastfm,missing,30,0.098,0.12089,0.0986,0.15055,0.15561,0.09599,0.15632,0.16522,0.22982,0.07088,0.23131,0.20279
HGNN,lastfm,missing,40,0.08485,0.10468,0.0859,0.12898,0.13863,0.08551,0.13978,0.14471,0.20909,0.06449,0.21027,0.18023
HGNN,lastfm,missing,50,0.06775,0.08366,0.06823,0.10519,0.1143,0.07057,0.11554,0.11973,0.17674,0.05456,0.17772,0.15138
HGNN,ml-1m,add_noise,10,0.03573,0.1482,0.05602,0.17378,0.06503,0.13485,0.09663,0.17394,0.11485,0.11908,0.16438,0.18788
HGNN,ml-1m,add_noise,20,0.03387,0.14045,0.05255,0.16936,0.06294,0.13053,0.09467,0.17112,0.11229,0.11643,0.16296,0.18585
HGNN,ml-1m,add_noise,30,0.03356,0.1392,0.05134,0.16964,0.06185,0.12825,0.09098,0.16647,0.10928,0.1133,0.15557,0.17731
HGNN,ml-1m,add_noise,40,0.0322,0.13355,0.05232,0.15691,0.05901,0.12237,0.0897,0.15748,0.10468,0.10854,0.14919,0.16966
HGNN,ml-1m,add_noise,50,0.02997,0.1243,0.04689,0.14317,0.05594,0.116,0.08299,0.14482,0.0985,0.10212,0.14026,0.15632
HGNN,ml-1m,cold_start,1,0.13119,0.10653,0.13371,0.14675,0.21019,0.08535,0.21066,0.18105,0.32163,0.0653,0.31733,0.22783
HGNN,ml-1m,missing,10,0.05782,0.2398,0.08675,0.27524,0.10062,0.20865,0.14493,0.2656,0.16974,0.17599,0.23108,0.27509
HGNN,ml-1m,missing,20,0.04963,0.20585,0.07768,0.23657,0.0877,0.18185,0.13068,0.23198,0.15188,0.15748,0.21404,0.24626
HGNN,ml-1m,missing,30,0.0442,0.1833,0.06797,0.20373,0.0775,0.1607,0.11472,0.20051,0.13473,0.13969,0.18974,0.21532
HGNN,ml-1m,missing,40,0.03778,0.1567,0.06085,0.17664,0.06937,0.14385,0.10443,0.17832,0.12114,0.1256,0.17358,0.19356
HGNN,ml-1m,missing,50,0.03323,0.1378,0.05186,0.15532,0.06097,0.12643,0.09232,0.15745,0.10702,0.11096,0.15409,0.17118
KGAT,lastfm,add_noise,10,0.06658,0.08214,0.06678,0.08737,0.11157,0.06882,0.11241,0.10192,0.17789,0.05486,0.17822,0.13398
KGAT,lastfm,add_noise,20,0.05542,0.06833,0.0552,0.06742,0.10213,0.06296,0.10255,0.08544,0.16806,0.05181,0.16887,0.11782
KGAT,lastfm,add_noise,30,0.05814,0.07176,0.05841,0.07605,0.10335,0.06378,0.10381,0.0919,0.16821,0.0519,0.1692,0.12336
KGAT,lastfm,add_noise,40,0.05076,0.06263,0.05178,0.06841,0.0917,0.05657,0.09253,0.0829,0.14764,0.04553,0.14869,0.10991
KGAT,lastfm,add_noise,50,0.03146,0.03879,0.03176,0.03116,0.06697,0.04129,0.06748,0.04784,0.1176,0.03625,0.11824,0.07225
KGAT,lastfm,cold_start,1,0.09888,0.08686,0.0982,0.09098,0.16339,0.07177,0.16283,0.12537,0.23866,0.05241,0.23724,0.15746
KGAT,lastfm,missing,10,0.03204,0.03966,0.03278,0.03917,0.05523,0.03418,0.05607,0.04731,0.09625,0.02978,0.09736,0.06703
KGAT,lastfm,missing,20,0.01273,0.01574,0.0129,0.01439,0.03365,0.0208,0.03387,0.02456,0.08064,0.02492,0.08174,0.04727
KGAT,lastfm,missing,30,0.02369,0.02928,0.02327,0.02662,0.05054,0.03123,0.05049,0.03858,0.09378,0.02897,0.09412,0.05968
KGAT,lastfm,missing,40,0.0303,0.03744,0.03064,0.03944,0.05636,0.03483,0.05664,0.04922,0.09637,0.02977,0.09766,0.06886
KGAT,lastfm,missing,50,0.03019,0.0373,0.03071,0.03796,0.05873,0.03629,0.05967,0.04998,0.10429,0.03222,0.10548,0.072
KGAT,ml-1m,add_noise,10,0.03374,0.13995,0.04925,0.14836,0.06157,0.12768,0.08545,0.14776,0.11079,0.11488,0.14789,0.16059
KGAT,ml-1m,add_noise,20,0.03254,0.13495,0.047,0.14553,0.05915,0.12265,0.08216,0.14404,0.10665,0.11058,0.14192,0.15598
KGAT,ml-1m,add_noise,30,0.03145,0.13045,0.04776,0.13716,0.058,0.12028,0.0835,0.13864,0.10422,0.10806,0.14376,0.1518
KGAT,ml-1m,add_noise,40,0.03123,0.1295,0.04515,0.13721,0.05683,0.11785,0.07912,0.13609,0.09993,0.10361,0.13325,0.14549
KGAT,ml-1m,add_noise,50,0.02688,0.1115,0.03765,0.11549,0.05009,0.10387,0.06975,0.11729,0.09122,0.09458,0.12407,0.12939
KGAT,ml-1m,cold_start,1,0.1107,0.0899,0.10999,0.12077,0.17288,0.0702,0.17227,0.14573,0.27384,0.05559,0.27068,0.18657
KGAT,ml-1m,missing,10,0.02082,0.08927,0.03323,0.08873,0.04018,0.08615,0.06084,0.09442,0.07061,0.07569,0.09778,0.10289
KGAT,ml-1m,missing,20,0.02039,0.08521,0.03266,0.08378,0.04053,0.0847,0.06122,0.09268,0.07521,0.0786,0.10778,0.10745
KGAT,ml-1m,missing,30,0.02385,0.0993,0.03497,0.10225,0.04475,0.09314,0.06311,0.10466,0.08343,0.08683,0.11281,0.11783
KGAT,ml-1m,missing,40,0.02449,0.10186,0.03801,0.10083,0.04565,0.09493,0.06645,0.10562,0.08323,0.08655,0.11614,0.11875
KGAT,ml-1m,missing,50,0.02354,0.09804,0.03397,0.09861,0.04366,0.0909,0.06206,0.10117,0.07948,0.08275,0.10671,0.11194
LightGCN,lastfm,add_noise,10,0.10412,0.12844,0.10537,0.16315,0.1641,0.10122,0.16515,0.17675,0.24758,0.07636,0.24828,0.21841
LightGCN,lastfm,add_noise,20,0.09907,0.12216,0.09965,0.15841,0.16035,0.09886,0.16137,0.17305,0.23696,0.07305,0.23781,0.21138
LightGCN,lastfm,add_noise,30,0.09369,0.11564,0.09605,0.13951,0.14972,0.09239,0.1516,0.15542,0.22234,0.0686,0.22452,0.19204
LightGCN,lastfm,add_noise,40,0.08089,0.09979,0.08219,0.1272,0.13622,0.08402,0.13772,0.14335,0.20375,0.06284,0.20425,0.1772
