Model,Mode,Percentage,Hit Ratio@10,Precision@10,Recall@10,NDCG@10,Hit Ratio@20,Precision@20,Recall@20,NDCG@20,Hit Ratio@40,Precision@40,Recall@40,NDCG@40
LightGCN,add_noise,50,0.06955,0.08576,0.07132,0.11398,0.11618,0.07163,0.11734,0.12699,0.17254,0.05319,0.17284,0.15719
LightGCN,cold_start,1,0.13207,0.11602,0.13158,0.17536,0.19495,0.08563,0.19402,0.20993,0.27536,0.06047,0.27439,0.24715
LightGCN,missing,10,0.1466,0.18077,0.14826,0.23401,0.22033,0.13584,0.22234,0.24618,0.31151,0.09603,0.31308,0.29216
LightGCN,missing,20,0.13183,0.16263,0.1334,0.20754,0.20297,0.1252,0.20445,0.22129,0.29114,0.08979,0.29211,0.26589
LightGCN,missing,30,0.11864,0.14636,0.11933,0.18396,0.18694,0.11531,0.18754,0.19893,0.27201,0.08389,0.27366,0.24237
LightGCN,missing,40,0.10618,0.13099,0.10679,0.16749,0.17285,0.10662,0.17333,0.18411,0.25632,0.07905,0.25705,0.22623
LightGCN,missing,50,0.09128,0.11272,0.0919,0.14438,0.15226,0.09401,0.15285,0.16055,0.2295,0.07085,0.2295,0.19938
SGL,add_noise,10,0.10235,0.12626,0.10331,0.15635,0.16548,0.10207,0.16607,0.17303,0.25085,0.07737,0.25107,0.2157
SGL,add_noise,20,0.10062,0.12407,0.10083,0.15573,0.16233,0.10008,0.16258,0.17207,0.24412,0.07525,0.24481,0.2133
SGL,add_noise,30,0.09848,0.12154,0.09987,0.14664,0.15739,0.09713,0.1585,0.16248,0.23221,0.07165,0.23381,0.20101
SGL,add_noise,40,0.08192,0.10106,0.08283,0.12895,0.13872,0.08557,0.13919,0.14493,0.20789,0.06411,0.2083,0.18042
SGL,add_noise,50,0.07481,0.09224,0.07651,0.11923,0.12514,0.07715,0.12681,0.13472,0.18827,0.05804,0.18937,0.16737
SGL,cold_start,1,0.13488,0.11848,0.13438,0.17837,0.20033,0.08799,0.19927,0.21411,0.2791,0.06129,0.27828,0.25022
SGL,missing,10,0.15496,0.19107,0.1574,0.24056,0.23115,0.14251,0.23322,0.25358,0.32591,0.10046,0.32732,0.30093
SGL,missing,20,0.13911,0.17161,0.14071,0.21384,0.21504,0.13264,0.21632,0.23007,0.30631,0.09447,0.30649,0.27584
SGL,missing,30,0.12782,0.15768,0.12776,0.19309,0.19888,0.12267,0.20061,0.20964,0.29071,0.08966,0.29154,0.25573
SGL,missing,40,0.10998,0.13567,0.11029,0.16764,0.18044,0.1113,0.18088,0.18668,0.26688,0.08231,0.26748,0.2301
SGL,missing,50,0.09637,0.119,0.09704,0.1471,0.1567,0.09675,0.15677,0.163,0.23687,0.07312,0.23693,0.20358
SHT,add_noise,10,0.10304,0.12711,0.10406,0.16429,0.16596,0.10237,0.16725,0.17966,0.24443,0.07539,0.2449,0.2192
SHT,add_noise,20,0.09842,0.12136,0.09906,0.15835,0.1603,0.09883,0.16113,0.1731,0.23817,0.07342,0.2389,0.21206
SHT,add_noise,30,0.09456,0.1167,0.09654,0.14159,0.15201,0.0938,0.1537,0.15699,0.22704,0.07005,0.22875,0.19545
SHT,add_noise,40,0.08403,0.10367,0.08485,0.12677,0.13838,0.08535,0.13931,0.14217,0.20733,0.06394,0.20732,0.17677
SHT,add_noise,50,0.06503,0.08018,0.06549,0.10128,0.10915,0.0673,0.11023,0.11553,0.16871,0.05201,0.16926,0.14606
SHT,cold_start,1,0.13628,0.11971,0.13667,0.18128,0.19799,0.08696,0.19801,0.21556,0.27723,0.06088,0.27731,0.2517
SHT,missing,10,0.13251,0.16339,0.13398,0.2155,0.19784,0.12197,0.19995,0.22534,0.28411,0.08758,0.28566,0.26906
SHT,missing,20,0.1264,0.15593,0.12834,0.1991,0.19302,0.11906,0.19403,0.21154,0.27899,0.08604,0.28,0.2553
SHT,missing,30,0.11838,0.14604,0.11979,0.18326,0.18798,0.11595,0.18892,0.19949,0.27171,0.0838,0.27253,0.24184
SHT,missing,40,0.10972,0.13535,0.11049,0.16967,0.17772,0.10962,0.17878,0.18695,0.26305,0.08113,0.26311,0.23004
SHT,missing,50,0.09637,0.119,0.09726,0.1494,0.16041,0.09904,0.1607,0.16712,0.24087,0.07436,0.24193,0.20816
