,epoch,hit@10,hit@20,ndcg@10,ndcg@20,precision@10,precision@20,recall@10,recall@20
71,71,0.13396,0.19547,0.21369,0.22124,0.16672,0.12163,0.13486,0.19579
72,72,0.13205,0.19114,0.20999,0.21658,0.16434,0.11894,0.13303,0.19177
73,73,0.12836,0.18999,0.20274,0.21134,0.15975,0.11823,0.12915,0.19075
74,74,0.13511,0.19177,0.21361,0.2172,0.16815,0.11933,0.13546,0.19165
75,75,0.13422,0.19267,0.21223,0.21807,0.16704,0.11989,0.13451,0.19332
76,76,0.12938,0.19228,0.20849,0.21748,0.16101,0.11965,0.1302,0.19321
77,77,0.13091,0.19012,0.20957,0.21648,0.16292,0.1183,0.13199,0.19105
78,78,0.13014,0.19114,0.20479,0.21279,0.16197,0.11894,0.13112,0.19164
79,79,0.13676,0.19623,0.21366,0.22041,0.17021,0.12211,0.13715,0.19779
80,80,0.13332,0.19279,0.21091,0.21819,0.16593,0.11997,0.13435,0.19418
81,81,0.12938,0.18859,0.20395,0.2106,0.16101,0.11735,0.1305,0.18901
82,82,0.13765,0.19496,0.2169,0.22119,0.17132,0.12132,0.13861,0.19549
83,83,0.13549,0.19649,0.21715,0.22363,0.16862,0.12227,0.13597,0.19675
84,84,0.13778,0.20005,0.21484,0.22253,0.17147,0.12448,0.13862,0.20018
85,85,0.13231,0.19126,0.20111,0.21007,0.16466,0.11902,0.13248,0.19201
86,86,0.13485,0.19623,0.21498,0.22171,0.16783,0.12211,0.13607,0.19694
87,87,0.13116,0.19177,0.20699,0.21435,0.16323,0.11933,0.13142,0.19156
88,88,0.1281,0.19165,0.1996,0.21009,0.15943,0.11926,0.12908,0.19162
89,89,0.13282,0.19343,0.21063,0.21818,0.16529,0.12036,0.13395,0.19383
90,90,0.13689,0.19967,0.21848,0.22592,0.17036,0.12425,0.13836,0.19949
91,91,0.13332,0.1961,0.21426,0.22244,0.16593,0.12203,0.13505,0.19773
92,92,0.13447,0.1984,0.21494,0.22379,0.16735,0.12345,0.13572,0.19811
93,93,0.13294,0.19598,0.21275,0.22088,0.16545,0.12195,0.13321,0.19563
94,94,0.13549,0.19878,0.21514,0.22351,0.16862,0.12369,0.1366,0.19986
95,95,0.13574,0.1984,0.21263,0.22132,0.16894,0.12345,0.13661,0.19913
96,96,0.14058,0.19967,0.22118,0.22621,0.17496,0.12425,0.14175,0.20013
97,97,0.13345,0.19827,0.21324,0.22251,0.16609,0.12338,0.1348,0.19885
98,98,0.13422,0.19738,0.20761,0.21771,0.16704,0.12282,0.13428,0.19876
99,99,0.13689,0.1989,0.21311,0.22103,0.17036,0.12377,0.13782,0.19893
100,100,0.12798,0.19139,0.20128,0.21198,0.15927,0.1191,0.12952,0.19186
101,101,0.13829,0.20183,0.21638,0.2246,0.17211,0.12559,0.13899,0.20263
102,102,0.13702,0.1989,0.21578,0.22265,0.17052,0.12377,0.13616,0.19874
103,103,0.13396,0.19407,0.21258,0.21919,0.16672,0.12076,0.13491,0.1945
104,104,0.13294,0.19801,0.21045,0.22048,0.16545,0.12322,0.13324,0.19871
105,105,0.13294,0.20196,0.21244,0.22436,0.16545,0.12567,0.13384,0.20309
106,106,0.1402,0.20514,0.22098,0.22985,0.17448,0.12765,0.14178,0.20764
107,107,0.13371,0.19699,0.21363,0.22181,0.1664,0.12258,0.13433,0.19749
108,108,0.13473,0.19776,0.21373,0.22162,0.16767,0.12306,0.13476,0.19766
109,109,0.13307,0.19789,0.20784,0.21875,0.16561,0.12314,0.13404,0.19907
110,110,0.1374,0.19916,0.21501,0.22272,0.171,0.12393,0.13853,0.19991
111,111,0.1388,0.20094,0.21521,0.22256,0.17274,0.12504,0.13977,0.20142
112,112,0.13638,0.20056,0.2139,0.22275,0.16973,0.1248,0.13695,0.20102
113,113,0.13956,0.20323,0.21781,0.2255,0.17369,0.12647,0.14064,0.20294
114,114,0.13473,0.19139,0.2122,0.21691,0.16767,0.1191,0.13657,0.19314
115,115,0.13638,0.19789,0.21372,0.22037,0.16973,0.12314,0.13814,0.19832
116,116,0.13842,0.20209,0.21687,0.22579,0.17227,0.12575,0.13927,0.20474
117,117,0.13523,0.20094,0.21417,0.22404,0.1683,0.12504,0.13645,0.20113
118,118,0.14046,0.20451,0.22102,0.22909,0.1748,0.12726,0.14235,0.20586
119,119,0.13931,0.2068,0.21881,0.22927,0.17338,0.12868,0.14093,0.20785
120,120,0.13651,0.20005,0.21241,0.22194,0.16989,0.12448,0.1386,0.20207
121,121,0.13536,0.1961,0.21051,0.21802,0.16846,0.12203,0.13687,0.19654
122,122,0.1388,0.20629,0.21948,0.23028,0.17274,0.12837,0.14005,0.20756
123,123,0.13753,0.19852,0.21723,0.22329,0.17116,0.12353,0.13901,0.19893
124,124,0.13434,0.19903,0.21365,0.22312,0.16719,0.12385,0.13519,0.19914
125,125,0.13549,0.20069,0.2152,0.22466,0.16862,0.12488,0.13678,0.20197
126,126,0.13447,0.19878,0.21058,0.21987,0.16735,0.12369,0.13458,0.19872
127,127,0.13804,0.20502,0.21621,0.22641,0.17179,0.12758,0.13943,0.20592
128,128,0.136,0.19954,0.21552,0.22376,0.16926,0.12417,0.13716,0.20047
129,129,0.13511,0.20374,0.21134,0.22339,0.16815,0.12678,0.13574,0.20429
130,130,0.13969,0.20718,0.21911,0.22895,0.17385,0.12892,0.14116,0.20696
131,131,0.136,0.20056,0.21596,0.22478,0.16926,0.1248,0.13732,0.20101
132,132,0.13689,0.1998,0.21437,0.22264,0.17036,0.12433,0.13754,0.20078
133,133,0.13778,0.20056,0.21796,0.22536,0.17147,0.1248,0.1397,0.2015
134,134,0.13855,0.20247,0.21639,0.22457,0.17242,0.12599,0.13881,0.20279
135,135,0.13893,0.20273,0.21823,0.22592,0.1729,0.12615,0.13965,0.2033
136,136,0.13587,0.19585,0.21284,0.2194,0.1691,0.12187,0.13749,0.19737
137,137,0.13867,0.20387,0.22081,0.22911,0.17258,0.12686,0.1392,0.20572
138,138,0.14224,0.20222,0.22288,0.22773,0.17702,0.12583,0.14293,0.20379
139,139,0.14084,0.2054,0.22093,0.22912,0.17528,0.12781,0.14163,0.20612
140,140,0.14224,0.21011,0.22152,0.23215,0.17702,0.13074,0.14337,0.21187
141,141,0.13383,0.20081,0.2099,0.22082,0.16656,0.12496,0.1342,0.20031
142,142,0.14198,0.20514,0.21972,0.22701,0.1767,0.12765,0.14278,0.20539
143,143,0.14109,0.20273,0.22241,0.2282,0.17559,0.12615,0.14142,0.20259
144,144,0.14147,0.20871,0.21957,0.22963,0.17607,0.12987,0.14157,0.20995
145,145,0.14338,0.20705,0.22443,0.23143,0.17845,0.12884,0.14386,0.20859
146,146,0.14211,0.20527,0.22203,0.22877,0.17686,0.12773,0.14277,0.20615
147,147,0.14046,0.20604,0.22301,0.23128,0.1748,0.12821,0.14117,0.20731
148,148,0.13931,0.20056,0.21653,0.22403,0.17338,0.1248,0.14022,0.2015
149,149,0.13804,0.20413,0.21756,0.22708,0.17179,0.12702,0.13846,0.20491
150,150,0.13485,0.19789,0.21259,0.22125,0.16783,0.12314,0.13559,0.2005
