,epoch,hit@10,hit@20,ndcg@10,ndcg@20,precision@10,precision@20,recall@10,recall@20
71,71,0.1306,0.20323,0.19692,0.21536,0.13056,0.10158,0.16565,0.24683
72,72,0.12521,0.19711,0.19229,0.21176,0.12518,0.09853,0.16118,0.24336
73,73,0.13263,0.20815,0.19997,0.21929,0.13259,0.10404,0.16563,0.25106
74,74,0.13304,0.20804,0.20318,0.22179,0.133,0.10399,0.164,0.24879
75,75,0.13147,0.20399,0.19833,0.21592,0.13143,0.10197,0.16167,0.24468
76,76,0.13342,0.20855,0.20222,0.22007,0.13339,0.10424,0.16463,0.24808
77,77,0.13036,0.20451,0.19565,0.21477,0.13032,0.10223,0.16452,0.24902
78,78,0.13235,0.20583,0.20076,0.21885,0.13231,0.10288,0.16707,0.2481
79,79,0.13103,0.20444,0.19713,0.2159,0.131,0.10219,0.16316,0.24757
80,80,0.13287,0.20785,0.20103,0.21999,0.13283,0.1039,0.16827,0.25205
81,81,0.13497,0.21028,0.20613,0.2249,0.13493,0.10511,0.16936,0.25489
82,82,0.13124,0.20704,0.20031,0.22001,0.1312,0.10349,0.16534,0.25178
83,83,0.13303,0.20652,0.19917,0.21686,0.13299,0.10323,0.16509,0.24843
84,84,0.13185,0.206,0.19743,0.21623,0.13181,0.10297,0.16249,0.24896
85,85,0.13483,0.21047,0.20354,0.22254,0.13479,0.1052,0.16709,0.25232
86,86,0.13481,0.21125,0.20611,0.2254,0.13477,0.10559,0.16647,0.2538
87,87,0.1353,0.21095,0.20438,0.22339,0.13526,0.10545,0.16867,0.25518
88,88,0.12698,0.20139,0.19111,0.21189,0.12694,0.10067,0.15853,0.24671
89,89,0.12769,0.20077,0.19152,0.21147,0.12765,0.10035,0.16296,0.24732
90,90,0.13145,0.206,0.19656,0.21515,0.13141,0.10297,0.16676,0.24876
91,91,0.13514,0.21222,0.20325,0.22228,0.1351,0.10608,0.16775,0.25354
92,92,0.13949,0.21497,0.2104,0.22853,0.13945,0.10745,0.17408,0.26049
93,93,0.13415,0.21064,0.20261,0.22244,0.13411,0.10529,0.16665,0.25421
94,94,0.13355,0.2077,0.19942,0.2171,0.13351,0.10382,0.16369,0.24732
95,95,0.13772,0.21348,0.20797,0.22624,0.13768,0.10671,0.1724,0.25746
96,96,0.13292,0.20841,0.1997,0.2195,0.13288,0.10417,0.16709,0.25295
97,97,0.1336,0.20979,0.20118,0.22048,0.13356,0.10487,0.16548,0.25194
98,98,0.13699,0.21336,0.20798,0.22665,0.13695,0.10665,0.16909,0.25639
99,99,0.1342,0.20919,0.20502,0.22483,0.13416,0.10456,0.16895,0.25639
100,100,0.13306,0.20811,0.20087,0.22077,0.13302,0.10403,0.16694,0.25394
101,101,0.13483,0.20943,0.20227,0.22166,0.13479,0.10468,0.16712,0.25548
102,102,0.13219,0.2068,0.20038,0.22029,0.13216,0.10337,0.16777,0.25459
103,103,0.13479,0.20926,0.20188,0.22067,0.13475,0.1046,0.16557,0.25337
104,104,0.13646,0.21125,0.20685,0.2254,0.13642,0.10559,0.17016,0.25744
105,105,0.13204,0.20733,0.1977,0.21598,0.132,0.10364,0.16231,0.24691
106,106,0.12786,0.20311,0.18882,0.20875,0.12783,0.10152,0.15681,0.24254
107,107,0.13812,0.21508,0.21042,0.22934,0.13808,0.10751,0.17467,0.2627
108,108,0.12934,0.20361,0.19286,0.21126,0.1293,0.10177,0.15716,0.24183
109,109,0.13502,0.20979,0.20538,0.22344,0.13498,0.10487,0.16757,0.25286
110,110,0.132,0.20832,0.19534,0.21519,0.13197,0.10413,0.16028,0.24838
111,111,0.13625,0.21248,0.20647,0.22618,0.13621,0.10621,0.17071,0.25836
112,112,0.13315,0.20967,0.20245,0.22302,0.13311,0.10481,0.16763,0.25573
113,113,0.13663,0.21095,0.20626,0.22503,0.13659,0.10545,0.17355,0.25846
114,114,0.13474,0.21038,0.20086,0.22099,0.1347,0.10516,0.16734,0.25655
115,115,0.134,0.21024,0.20043,0.21979,0.13396,0.10509,0.16555,0.25179
116,116,0.13627,0.21156,0.20586,0.2247,0.13623,0.10575,0.1717,0.25743
117,117,0.13266,0.20872,0.19627,0.21579,0.13262,0.10433,0.16259,0.24906
118,118,0.13365,0.20841,0.20105,0.2199,0.13361,0.10417,0.16813,0.25376
119,119,0.13337,0.20929,0.19983,0.21988,0.13333,0.10461,0.1676,0.25372
