,Epoch,Hit Ratio,Precision,Recall,NDCG,Measure Time
0,0,0.11522,0.05759,0.12914,0.11436,0.0443117618560791
1,1,0.11522,0.05759,0.12914,0.11436,0.04563188552856445
2,2,0.11522,0.05759,0.12914,0.11436,0.046189069747924805
3,3,0.11522,0.05759,0.12914,0.11436,0.04544234275817871
4,4,0.11792,0.05894,0.13141,0.11614,0.045156240463256836
5,5,0.11792,0.05894,0.13141,0.11614,0.045404911041259766
6,6,0.11803,0.059,0.13135,0.11629,0.04527759552001953
7,7,0.11829,0.05913,0.13188,0.1165,0.045606374740600586
8,8,0.11829,0.05913,0.13188,0.1165,0.04557371139526367
9,9,0.11829,0.05913,0.13188,0.1165,0.04505777359008789
10,10,0.11858,0.05927,0.13255,0.11668,0.04710721969604492
11,11,0.11858,0.05927,0.13255,0.11668,0.04937887191772461
12,12,0.11858,0.05927,0.13255,0.11668,0.04568600654602051
13,13,0.11858,0.05927,0.13255,0.11668,0.045278310775756836
14,14,0.11858,0.05927,0.13255,0.11668,0.045259714126586914
15,15,0.11858,0.05927,0.13255,0.11668,0.04475975036621094
16,16,0.11858,0.05927,0.13255,0.11668,0.04508185386657715
17,17,0.11858,0.05927,0.13255,0.11668,0.04886579513549805
18,18,0.11858,0.05927,0.13255,0.11668,0.05075573921203613
19,19,0.11858,0.05927,0.13255,0.11668,0.04537034034729004
20,20,0.11858,0.05927,0.13255,0.11668,0.045084476470947266
21,21,0.11858,0.05927,0.13255,0.11668,0.044925689697265625
22,22,0.11858,0.05927,0.13255,0.11668,0.04912376403808594
23,23,0.11858,0.05927,0.13255,0.11668,0.04545474052429199
24,24,0.11858,0.05927,0.13255,0.11668,0.04518413543701172
25,25,0.11858,0.05927,0.13255,0.11668,0.04895210266113281
26,26,0.11858,0.05927,0.13255,0.11668,0.05026531219482422
27,27,0.11858,0.05927,0.13255,0.11668,0.045092105865478516
28,28,0.11858,0.05927,0.13255,0.11668,0.04541778564453125
29,29,0.11858,0.05927,0.13255,0.11668,0.045098304748535156
30,30,0.11881,0.05939,0.13352,0.1174,0.04504847526550293
31,31,0.11881,0.05939,0.13352,0.1174,0.04588651657104492
32,32,0.11881,0.05939,0.13352,0.1174,0.045450687408447266
33,33,0.11881,0.05939,0.13352,0.1174,0.04506540298461914
34,34,0.11881,0.05939,0.13352,0.1174,0.04558300971984863
35,35,0.11881,0.05939,0.13352,0.1174,0.04540061950683594
36,36,0.11881,0.05939,0.13352,0.1174,0.04589223861694336
