,ep,loss
0,0,1.226711540713201e-05
1,1,1.294983030675212e-05
2,2,1.3520683644267538e-05
3,3,1.3730782564594205e-05
4,4,1.421742156119709e-05
5,5,1.4625130514853963e-05
6,6,1.4934463653095436e-05
7,7,1.5216585619354565e-05
8,8,1.5484976649852743e-05
9,9,1.5638868663860622e-05
10,10,1.581106238625259e-05
11,11,1.5973394297094166e-05
12,12,1.6171190455840106e-05
13,13,1.6266907497244092e-05
14,14,1.6503143128562334e-05
15,15,1.676571296497166e-05
16,16,1.6988311097734634e-05
17,17,1.728575973495882e-05
18,18,1.747419034526341e-05
19,19,1.7673022257975606e-05
20,20,1.7844241858042285e-05
21,21,1.7979197175865172e-05
22,22,1.812601872456178e-05
23,23,1.8360005817478796e-05
24,24,1.839552062258864e-05
25,25,1.8612810141776744e-05
26,26,1.8734119615092984e-05
27,27,1.888297078146613e-05
28,28,1.9073818454190213e-05
29,29,1.918660307316767e-05
30,30,1.9335034427486415e-05
31,31,1.942214866550571e-05
32,32,1.955732996601214e-05
33,33,1.9631266535297446e-05
34,34,1.9751883722646572e-05
35,35,1.9901693977932582e-05
36,36,2.0080664184848394e-05
37,37,2.0197692773602766e-05
38,38,2.0187351979342674e-05
39,39,2.045571048203034e-05
40,40,2.061024978876744e-05
41,41,2.072749585375491e-05
42,42,2.0784782678032678e-05
43,43,2.0890537972959198e-05
44,44,2.1010031934351634e-05
45,45,2.115785135923515e-05
46,46,2.133542554528343e-05
47,47,2.1324353410283732e-05
48,48,2.1378684751278558e-05
49,49,2.1542369990236373e-05
50,50,2.1628305416122792e-05
51,51,2.1662926080941415e-05
52,52,2.171052967562847e-05
53,53,2.1773318568354144e-05
54,54,2.1761784624044702e-05
55,55,2.1802674114844514e-05
56,56,2.1844019636987735e-05
57,57,2.1887880339978865e-05
58,58,2.2085863426635862e-05
59,59,2.211238562963177e-05
60,60,2.2161252512459588e-05
61,61,2.2290403702594203e-05
62,62,2.233490206837065e-05
63,63,2.2454396778758726e-05
64,64,2.2471034914333894e-05
65,65,2.255390684106661e-05
66,66,2.2677258932483656e-05
