,epoch,hit@10,hit@20,ndcg@10,ndcg@20,precision@10,precision@20,recall@10,recall@20
71,71,0.14517,0.20642,0.23139,0.23606,0.18067,0.12845,0.14757,0.20695
72,72,0.14924,0.21317,0.23705,0.24361,0.18574,0.13265,0.1501,0.21447
73,73,0.14759,0.21062,0.23168,0.2378,0.18368,0.13106,0.14809,0.21176
74,74,0.14797,0.21304,0.23346,0.24088,0.18415,0.13257,0.14876,0.21545
75,75,0.14644,0.21024,0.23333,0.23944,0.18225,0.13082,0.14796,0.21216
76,76,0.14682,0.21202,0.23214,0.23881,0.18273,0.13193,0.14751,0.21319
77,77,0.14861,0.21597,0.23547,0.2442,0.18494,0.13439,0.14955,0.21886
78,78,0.14899,0.21406,0.23626,0.24288,0.18542,0.1332,0.15031,0.21643
79,79,0.14797,0.21189,0.23666,0.24265,0.18415,0.13185,0.15009,0.21289
80,80,0.1472,0.21317,0.23503,0.24256,0.1832,0.13265,0.14798,0.21383
81,81,0.14784,0.21215,0.23572,0.24253,0.18399,0.13201,0.14848,0.21437
82,82,0.14822,0.21533,0.23466,0.24233,0.18447,0.13399,0.14954,0.21641
83,83,0.14988,0.21941,0.23944,0.24833,0.18653,0.13653,0.15157,0.22085
84,84,0.14822,0.21775,0.23708,0.24658,0.18447,0.1355,0.14902,0.22013
85,85,0.14695,0.21431,0.23424,0.24252,0.18288,0.13336,0.14849,0.216
86,86,0.14962,0.2152,0.23597,0.24268,0.18621,0.13391,0.15103,0.21647
87,87,0.14848,0.21177,0.23577,0.24132,0.18479,0.13177,0.15023,0.213
88,88,0.14695,0.21406,0.23441,0.24294,0.18288,0.1332,0.14891,0.21682
89,89,0.1495,0.21826,0.23834,0.24711,0.18605,0.13582,0.1512,0.21998
90,90,0.15204,0.21622,0.23992,0.24471,0.18922,0.13455,0.15376,0.21698
91,91,0.1509,0.21941,0.24305,0.25048,0.1878,0.13653,0.1514,0.22023
92,92,0.15166,0.21597,0.23839,0.24379,0.18875,0.13439,0.15307,0.21721
93,93,0.15217,0.22348,0.24309,0.25284,0.18938,0.13906,0.15398,0.22474
94,94,0.15561,0.22119,0.24634,0.25128,0.19366,0.13764,0.15747,0.22212
95,95,0.15255,0.21737,0.24187,0.24751,0.18986,0.13526,0.15366,0.21849
96,96,0.15039,0.21877,0.23885,0.24704,0.18716,0.13613,0.15169,0.22141
97,97,0.15001,0.21801,0.23597,0.24548,0.18669,0.13566,0.15119,0.22034
98,98,0.1537,0.22616,0.24341,0.253,0.19128,0.14073,0.15449,0.22668
99,99,0.15103,0.21852,0.23939,0.24682,0.18796,0.13597,0.15274,0.21965
100,100,0.15357,0.22246,0.24411,0.25215,0.19113,0.13843,0.15552,0.2253
101,101,0.15408,0.22475,0.24297,0.25181,0.19176,0.13986,0.15508,0.22586
102,102,0.15548,0.22526,0.24649,0.25456,0.1935,0.14017,0.1573,0.22627
103,103,0.15192,0.22017,0.24125,0.24935,0.18906,0.137,0.15334,0.22274
104,104,0.15294,0.22004,0.23952,0.24673,0.19033,0.13693,0.15505,0.22231
105,105,0.15001,0.21788,0.24017,0.24803,0.18669,0.13558,0.15108,0.21949
106,106,0.15141,0.2203,0.2394,0.24816,0.18843,0.13708,0.15315,0.22261
107,107,0.15153,0.21737,0.23744,0.2446,0.18859,0.13526,0.1541,0.21895
108,108,0.15383,0.22221,0.24376,0.25157,0.19144,0.13827,0.1558,0.22475
109,109,0.1495,0.21559,0.23548,0.24272,0.18605,0.13415,0.15163,0.21682
110,110,0.15115,0.22603,0.24087,0.25253,0.18811,0.14065,0.15228,0.22678
111,111,0.15255,0.22335,0.24227,0.25156,0.18986,0.13899,0.15446,0.22465
112,112,0.15141,0.2189,0.23961,0.24751,0.18843,0.13621,0.15316,0.22139
113,113,0.15243,0.22463,0.24271,0.25291,0.1897,0.13978,0.15415,0.22671
114,114,0.1495,0.21915,0.23572,0.24565,0.18605,0.13637,0.14981,0.2206
115,115,0.15255,0.2231,0.2402,0.24979,0.18986,0.13883,0.15351,0.22436
116,116,0.15039,0.22195,0.23783,0.24841,0.18716,0.13811,0.15224,0.2243
117,117,0.15294,0.22781,0.24205,0.25284,0.19033,0.14176,0.154,0.22808
118,118,0.15497,0.22807,0.24626,0.25576,0.19287,0.14192,0.1567,0.22851
119,119,0.15268,0.22221,0.23972,0.24813,0.19002,0.13827,0.1539,0.22257
120,120,0.15179,0.22297,0.2412,0.25098,0.18891,0.13875,0.15326,0.22402
121,121,0.15141,0.22412,0.23827,0.24854,0.18843,0.13946,0.15286,0.22496
122,122,0.15574,0.22323,0.24554,0.25304,0.19382,0.13891,0.15694,0.22596
123,123,0.15294,0.22908,0.24281,0.25491,0.19033,0.14255,0.15428,0.22966
124,124,0.15408,0.22794,0.24413,0.25504,0.19176,0.14184,0.15567,0.22927
125,125,0.15141,0.22195,0.24113,0.24972,0.18843,0.13811,0.1528,0.22157
126,126,0.15637,0.23227,0.24568,0.25769,0.19461,0.14453,0.15764,0.23399
127,127,0.15064,0.22297,0.24054,0.25129,0.18748,0.13875,0.15235,0.22446
128,128,0.15204,0.2203,0.24333,0.25107,0.18922,0.13708,0.15327,0.22171
129,129,0.15192,0.22654,0.24234,0.25402,0.18906,0.14097,0.15349,0.22833
130,130,0.15383,0.22858,0.24368,0.25477,0.19144,0.14223,0.15522,0.22937
131,131,0.15179,0.21966,0.23966,0.24715,0.18891,0.13669,0.1523,0.21962
132,132,0.15446,0.22807,0.24375,0.25529,0.19223,0.14192,0.15617,0.23078
133,133,0.15281,0.22361,0.23846,0.24837,0.19017,0.13914,0.15445,0.22598
134,134,0.15446,0.22577,0.24283,0.2528,0.19223,0.14049,0.15578,0.22817
135,135,0.15383,0.22616,0.2448,0.25497,0.19144,0.14073,0.15544,0.22814
136,136,0.15217,0.22679,0.23947,0.25147,0.18938,0.14113,0.15291,0.22778
137,137,0.15701,0.23087,0.24597,0.25729,0.1954,0.14366,0.15848,0.23329
138,138,0.15217,0.22577,0.24232,0.25331,0.18938,0.14049,0.15402,0.22746
139,139,0.15243,0.22068,0.24107,0.24926,0.1897,0.13732,0.15406,0.22292
140,140,0.15625,0.22959,0.24736,0.2577,0.19445,0.14287,0.15809,0.23095
141,141,0.15472,0.22654,0.24241,0.2526,0.19255,0.14097,0.15673,0.22881
142,142,0.15574,0.22616,0.24395,0.25308,0.19382,0.14073,0.15741,0.2287
143,143,0.15523,0.22208,0.24313,0.2503,0.19319,0.13819,0.15687,0.22462
144,144,0.15294,0.22234,0.24036,0.24811,0.19033,0.13835,0.1541,0.22211
145,145,0.15192,0.2245,0.24151,0.25191,0.18906,0.1397,0.1535,0.2265
146,146,0.15765,0.22858,0.24547,0.2539,0.1962,0.14223,0.15927,0.22912
147,147,0.15319,0.22412,0.24318,0.25298,0.19065,0.13946,0.15488,0.22482
148,148,0.1495,0.22335,0.23662,0.24896,0.18605,0.13899,0.15209,0.22635
149,149,0.15421,0.22463,0.24203,0.25126,0.19192,0.13978,0.15549,0.22511
150,150,0.15332,0.22361,0.24065,0.25029,0.19081,0.13914,0.15531,0.22589
151,151,0.15383,0.22883,0.24329,0.25436,0.19144,0.14239,0.15526,0.22933
152,152,0.15446,0.22641,0.23946,0.24994,0.19223,0.14089,0.15559,0.22666
153,153,0.15306,0.22386,0.24025,0.25,0.19049,0.1393,0.1544,0.22504
154,154,0.15854,0.22845,0.25056,0.25801,0.19731,0.14216,0.16029,0.22998
155,155,0.1537,0.22412,0.24164,0.25041,0.19128,0.13946,0.15459,0.22552
156,156,0.15077,0.2245,0.23824,0.2502,0.18764,0.1397,0.15223,0.22649
157,157,0.15574,0.22679,0.24823,0.25716,0.19382,0.14113,0.15695,0.22768
158,158,0.15485,0.22208,0.24482,0.25188,0.19271,0.13819,0.15716,0.22248
159,159,0.15294,0.22093,0.24271,0.24949,0.19033,0.13748,0.15468,0.2215
160,160,0.15179,0.22144,0.24276,0.25042,0.18891,0.1378,0.15332,0.22113
161,161,0.15854,0.22845,0.24926,0.2572,0.19731,0.14216,0.15951,0.23034
162,162,0.15765,0.23418,0.24799,0.25989,0.1962,0.14572,0.1593,0.23568
163,163,0.15663,0.23201,0.24629,0.25856,0.19493,0.14437,0.15826,0.23446
164,164,0.15064,0.22628,0.24277,0.25518,0.18748,0.14081,0.15195,0.22824
165,165,0.14924,0.22679,0.23683,0.25046,0.18574,0.14113,0.15033,0.22839
166,166,0.15854,0.22998,0.24866,0.25688,0.19731,0.14311,0.15945,0.23152
167,167,0.15523,0.22947,0.24487,0.25588,0.19319,0.14279,0.15599,0.23091
168,168,0.15166,0.22348,0.23765,0.24871,0.18875,0.13906,0.15304,0.22466
169,169,0.15523,0.23367,0.24234,0.25682,0.19319,0.1454,0.15732,0.23581
170,170,0.15726,0.23087,0.24861,0.25914,0.19572,0.14366,0.1577,0.23166
171,171,0.15255,0.23201,0.23986,0.25558,0.18986,0.14437,0.15387,0.23402
172,172,0.14848,0.21826,0.23264,0.24271,0.18479,0.13582,0.14998,0.21956
173,173,0.16274,0.23125,0.25834,0.2645,0.20254,0.1439,0.16476,0.23327
174,174,0.15268,0.22692,0.24126,0.25317,0.19002,0.1412,0.15396,0.22891
175,175,0.15153,0.22526,0.23876,0.25055,0.18859,0.14017,0.15276,0.2272
176,176,0.15115,0.22883,0.23781,0.25239,0.18811,0.14239,0.1522,0.23138
177,177,0.15141,0.22921,0.24069,0.25445,0.18843,0.14263,0.15208,0.23122
178,178,0.15141,0.22654,0.23381,0.24694,0.18843,0.14097,0.15313,0.22938
179,179,0.15383,0.22692,0.24162,0.25265,0.19144,0.1412,0.15519,0.23005
180,180,0.15535,0.23087,0.24479,0.25697,0.19334,0.14366,0.15687,0.23262
181,181,0.15306,0.22603,0.23976,0.25127,0.19049,0.14065,0.15463,0.22789
182,182,0.15676,0.23099,0.2439,0.25468,0.19509,0.14374,0.15792,0.2331
183,183,0.15179,0.22756,0.23787,0.2511,0.18891,0.1416,0.15347,0.22976
184,184,0.15192,0.22641,0.23711,0.24949,0.18906,0.14089,0.15233,0.22856
185,185,0.1472,0.22259,0.22613,0.24053,0.1832,0.13851,0.14864,0.22427
186,186,0.15434,0.2273,0.24191,0.25257,0.19208,0.14144,0.15517,0.22917
187,187,0.15421,0.22666,0.24242,0.25258,0.19192,0.14105,0.15768,0.22905
188,188,0.15726,0.22845,0.24232,0.25178,0.19572,0.14216,0.15759,0.23061
189,189,0.15663,0.23252,0.24792,0.25955,0.19493,0.14469,0.15796,0.23384
190,190,0.14848,0.22641,0.23237,0.24751,0.18479,0.14089,0.14889,0.22791
191,191,0.15676,0.22947,0.2477,0.25784,0.19509,0.14279,0.15934,0.23255
192,192,0.15306,0.22768,0.24262,0.25409,0.19049,0.14168,0.15433,0.22904
193,193,0.15243,0.2301,0.24255,0.25624,0.1897,0.14319,0.15226,0.23096
194,194,0.15535,0.23074,0.24557,0.25793,0.19334,0.14358,0.15624,0.23301
195,195,0.15854,0.23749,0.24952,0.26279,0.19731,0.14778,0.15982,0.23976
196,196,0.15013,0.22272,0.23978,0.25031,0.18685,0.13859,0.15008,0.22232
197,197,0.15217,0.22488,0.24024,0.2505,0.18938,0.13994,0.15189,0.22456
198,198,0.15867,0.23061,0.24749,0.2563,0.19746,0.1435,0.15936,0.23196
199,199,0.15905,0.23431,0.25147,0.26225,0.19794,0.1458,0.15935,0.23565
200,200,0.15115,0.22514,0.23596,0.24803,0.18811,0.1401,0.15174,0.22578
201,201,0.1593,0.23443,0.24948,0.26105,0.19826,0.14588,0.15935,0.23684
202,202,0.1579,0.22985,0.24429,0.25377,0.19651,0.14303,0.15883,0.23018
203,203,0.16083,0.23558,0.25296,0.26349,0.20016,0.14659,0.16146,0.23799
204,204,0.15255,0.22883,0.23658,0.24999,0.18986,0.14239,0.15372,0.23144
205,205,0.15867,0.2338,0.24646,0.25851,0.19746,0.14548,0.1599,0.23581
206,206,0.15217,0.22692,0.23812,0.25012,0.18938,0.1412,0.15274,0.22721
207,207,0.16032,0.22896,0.25104,0.25769,0.19952,0.14247,0.16181,0.22908
208,208,0.15421,0.23176,0.24525,0.25828,0.19192,0.14422,0.15543,0.23229
209,209,0.15459,0.22616,0.24563,0.2547,0.19239,0.14073,0.15572,0.22645
210,210,0.15064,0.2287,0.23335,0.24801,0.18748,0.14231,0.15119,0.22916
211,211,0.1579,0.2324,0.24692,0.25774,0.19651,0.14461,0.15879,0.23274
212,212,0.15039,0.22641,0.22669,0.24209,0.18716,0.14089,0.14991,0.22691
213,213,0.16172,0.2394,0.25217,0.26417,0.20127,0.14897,0.16234,0.23975
214,214,0.15485,0.2324,0.23941,0.2533,0.19271,0.14461,0.15592,0.23216
215,215,0.14631,0.22144,0.224,0.23872,0.18209,0.1378,0.14679,0.22318
216,216,0.15332,0.22998,0.24295,0.25611,0.19081,0.14311,0.15423,0.23064
217,217,0.13829,0.21177,0.21837,0.23195,0.17211,0.13177,0.13924,0.21155
218,218,0.15255,0.23061,0.24084,0.25474,0.18986,0.1435,0.15348,0.23064
219,219,0.14784,0.22717,0.23354,0.24953,0.18399,0.14136,0.14876,0.22816
220,220,0.15052,0.22399,0.2369,0.24904,0.18732,0.13938,0.15053,0.22347
221,221,0.15892,0.23418,0.25186,0.26205,0.19778,0.14572,0.16072,0.23439
