,ep,loss
0,0,1.3028721562424085e-05
1,1,1.3789971784289638e-05
2,2,1.5060341919546344e-05
3,3,1.5829823282461695e-05
4,4,1.645838812478092e-05
5,5,1.68642188916291e-05
6,6,1.703578228069305e-05
7,7,1.733802395499558e-05
8,8,1.759296762483085e-05
9,9,1.796703648270683e-05
10,10,1.834144501010408e-05
11,11,1.853960550172761e-05
12,12,1.883031034273753e-05
13,13,1.911930249822463e-05
14,14,1.9500035812277073e-05
15,15,1.9699029829044937e-05
16,16,1.9939814752861447e-05
17,17,2.0214053887791713e-05
18,18,2.044198540448526e-05
19,19,2.0629053270728464e-05
20,20,2.0795400814677123e-05
21,21,2.1030531195933957e-05
22,22,2.113516738437979e-05
23,23,2.1378142745935987e-05
24,24,2.1464630716603578e-05
25,25,2.1651897227189585e-05
26,26,2.179861509349019e-05
27,27,2.1887050078315524e-05
28,28,2.1910644350367983e-05
29,29,2.1979941640679233e-05
30,30,2.202333379339988e-05
31,31,2.2200950137202573e-05
32,32,2.228078076715225e-05
33,33,2.231949100164724e-05
34,34,2.2420224815826205e-05
35,35,2.2540925088191324e-05
36,36,2.2635486857325304e-05
37,37,2.2848609018290197e-05
38,38,2.292527219919173e-05
39,39,2.29838409295018e-05
40,40,2.291407423292506e-05
41,41,2.323008822499747e-05
42,42,2.3300680742763423e-05
43,43,2.344035564259256e-05
44,44,2.3376929515079074e-05
45,45,2.334159591341364e-05
46,46,2.3548625529870417e-05
47,47,2.3618920535869512e-05
48,48,2.367163388578988e-05
49,49,2.3713309608009533e-05
50,50,2.366329237488304e-05
51,51,2.373422097769114e-05
52,52,2.3598621149122826e-05
53,53,2.3656363255748363e-05
54,54,2.3754112536313615e-05
55,55,2.3905767353854198e-05
56,56,2.3818914729310883e-05
57,57,2.39654733270393e-05
58,58,2.4013256359681047e-05
59,59,2.4141464296810547e-05
60,60,2.4187819636769264e-05
61,61,2.4247119814818315e-05
62,62,2.4347926977069993e-05
63,63,2.432761961886974e-05
64,64,2.4501468675118624e-05
65,65,2.4687625120671274e-05
66,66,2.4751250588023514e-05
67,67,2.4554980989384657e-05
68,68,2.4562804141811177e-05
69,69,2.465315307798686e-05
70,70,2.4849857896590358e-05
71,71,2.4852186149527208e-05
72,72,2.4910203565548943e-05
73,73,2.497349203836433e-05
74,74,2.498136997447171e-05
75,75,2.4988298505109816e-05
76,76,2.499968553927508e-05
77,77,2.510332609852091e-05
78,78,2.5196796474012764e-05
79,79,2.523322077382438e-05
80,80,2.5163237403509865e-05
81,81,2.518197443885797e-05
82,82,2.5228984882500407e-05
83,83,2.5227603841545607e-05
84,84,2.542071246459861e-05
85,85,2.560997815153849e-05
86,86,2.5554292679932105e-05
87,87,2.552115326098454e-05
88,88,2.565076406694168e-05
89,89,2.5829682593158557e-05
90,90,2.574728301517419e-05
91,91,2.573319611923687e-05
92,92,2.5699329746524146e-05
93,93,2.5768940598508753e-05
94,94,2.5810929507903947e-05
95,95,2.597971497915055e-05
96,96,2.597482489363756e-05
97,97,2.5927550268534105e-05
98,98,2.6053552306513986e-05
99,99,2.6190272418556132e-05
100,100,2.6155619332926374e-05
101,101,2.614098139019916e-05
102,102,2.605939704046571e-05
103,103,2.606692471411353e-05
104,104,2.610261564019739e-05
105,105,2.6137377972190734e-05
106,106,2.6266919442551787e-05
107,107,2.6200348656857386e-05
108,108,2.6202159032811108e-05
109,109,2.6221449361936026e-05
110,110,2.6333259430590688e-05
111,111,2.631464838700862e-05
112,112,2.6367398598214257e-05
113,113,2.6418162526490906e-05
114,114,2.642534924662494e-05
115,115,2.6412537836757326e-05
116,116,2.6553321731626056e-05
117,117,2.6588610126054846e-05
118,118,2.6721163361370974e-05
119,119,2.6700583796756453e-05
120,120,2.6679962074387516e-05
121,121,2.6749213033968664e-05
122,122,2.6613067508579287e-05
123,123,2.6714868588040938e-05
124,124,2.684991469483494e-05
125,125,2.682256223017569e-05
126,126,2.6846323367756078e-05
127,127,2.679013018410735e-05
128,128,2.685508731220205e-05
129,129,2.7020690407987466e-05
130,130,2.695383366645889e-05
131,131,2.7068778709850876e-05
132,132,2.7153202983540457e-05
133,133,2.712285507133107e-05
134,134,2.7351461807591157e-05
135,135,2.724218270219246e-05
136,136,2.7165963140706642e-05
137,137,2.7292953959926416e-05
138,138,2.721736130778856e-05
139,139,2.7167635861962265e-05
140,140,2.744464414076099e-05
141,141,2.742242636218982e-05
142,142,2.7443073336411652e-05
143,143,2.7501207916750846e-05
144,144,2.7606219619509136e-05
145,145,2.758936802017749e-05
146,146,2.772374527386787e-05
147,147,2.7684222486106376e-05
148,148,2.7677365324052516e-05
149,149,2.7702007975997677e-05
150,150,2.7652907674029632e-05
151,151,2.7705460792383427e-05
152,152,2.7799817497212e-05
153,153,2.7938621689613417e-05
154,154,2.789717681854895e-05
155,155,2.7931183627943564e-05
156,156,2.7945288125278347e-05
157,157,2.7939570881083937e-05
158,158,2.7870682274891914e-05
159,159,2.7966517122609622e-05
160,160,2.7931766774546466e-05
161,161,2.7977308972742106e-05
162,162,2.7956117104194537e-05
163,163,2.8006605081078733e-05
164,164,2.7965778184914278e-05
165,165,2.815745494230856e-05
166,166,2.8208915383027704e-05
167,167,2.816677078953944e-05
168,168,2.8116905388528455e-05
169,169,2.8100134787724956e-05
170,170,2.812269196831895e-05
171,171,2.8141119133472195e-05
172,172,2.8226532990896993e-05
173,173,2.8306880213837276e-05
174,174,2.83013417656013e-05
175,175,2.831878630197881e-05
176,176,2.8294481126067694e-05
177,177,2.8342264265708817e-05
178,178,2.844669292886358e-05
179,179,2.850265435186242e-05
180,180,2.8567952272971845e-05
181,181,2.8539697375569685e-05
182,182,2.8554437288702876e-05
183,183,2.859877504841493e-05
184,184,2.8531292039534653e-05
185,185,2.854448094320319e-05
186,186,2.8529237972500542e-05
187,187,2.8553986821327056e-05
188,188,2.86819165065775e-05
189,189,2.875127082755652e-05
190,190,2.874470555980224e-05
191,191,2.8573245478636474e-05
192,192,2.863812139420428e-05
193,193,2.8740309329912314e-05
194,194,2.874339428244104e-05
195,195,2.869894807886072e-05
196,196,2.8788227930764313e-05
197,197,2.8718435607836855e-05
198,198,2.8748873185523896e-05
199,199,2.8794153128247298e-05
200,200,2.8854767365641345e-05
201,201,2.8768114722933044e-05
202,202,2.8762001474045546e-05
203,203,2.8774334650199092e-05
204,204,2.8868405720191623e-05
205,205,2.8816261446456122e-05
206,206,2.8850727711174197e-05
207,207,2.892729812361615e-05
208,208,2.9003791282508138e-05
209,209,2.9002051419143646e-05
210,210,2.9015807312509208e-05
211,211,2.9053056149517515e-05
212,212,2.9096519563823033e-05
213,213,2.9157432971474275e-05
214,214,2.9184310144902318e-05
215,215,2.91217797626707e-05
216,216,2.9138656667354927e-05
217,217,2.9257085610451587e-05
218,218,2.9119679043908356e-05
219,219,2.9162895985149697e-05
220,220,2.9232815262837583e-05
221,221,2.9275278446969905e-05
222,222,2.938590820550042e-05
223,223,2.9385849997839506e-05
224,224,2.935317789866959e-05
225,225,2.9383659988097325e-05
226,226,2.9436497403794955e-05
227,227,2.945537974429659e-05
228,228,2.9416354343137593e-05
229,229,2.9449705620850983e-05
230,230,2.946788299595937e-05
231,231,2.9559340766675578e-05
232,232,2.9581652651198537e-05
233,233,2.9517628397169412e-05
234,234,2.9546427921398872e-05
235,235,2.959915352274787e-05
236,236,2.9619961103034095e-05
237,237,2.964779929136378e-05
238,238,2.96517941130921e-05
239,239,2.962429634327932e-05
240,240,2.958876655825674e-05
241,241,2.9628600767704056e-05
242,242,2.9644937004537924e-05
243,243,2.9636548895402538e-05
244,244,2.972694448330645e-05
245,245,2.9773180411960793e-05
246,246,2.9744600289953215e-05
247,247,2.98140345929663e-05
248,248,2.97812376255238e-05
249,249,2.977339451771353e-05
250,250,2.9901449552733754e-05
251,251,2.9894402199287843e-05
252,252,2.991226349823752e-05
253,253,2.9916370241313844e-05
254,254,2.991656856465852e-05
255,255,2.986555227835197e-05
256,256,2.992410977372749e-05
257,257,2.9898638197611197e-05
258,258,2.9975088128755006e-05
259,259,2.99798166987089e-05
260,260,2.9961314794491045e-05
261,261,2.9936049085175482e-05
262,262,2.9946919847348265e-05
263,263,2.997295525667997e-05
264,264,2.9999250086000437e-05
265,265,3.0036973625743377e-05
266,266,3.0012499123318668e-05
267,267,2.9992833119382232e-05
268,268,3.0018033719577087e-05
269,269,3.0095934990266175e-05
270,270,3.0138210604491178e-05
271,271,3.009558579780038e-05
272,272,3.0068709533867042e-05
273,273,3.0096937092928463e-05
274,274,3.0113883814705975e-05
275,275,3.0171485645148685e-05
276,276,3.008059973260114e-05
277,277,3.015738772827557e-05
278,278,3.0168399248128373e-05
279,279,3.0192176542614642e-05
280,280,3.0240165014059612e-05
281,281,3.02424710646258e-05
282,282,3.0179094905821222e-05
283,283,3.020130150295753e-05
284,284,3.0198409898302462e-05
285,285,3.0197824344213586e-05
286,286,3.023811383600867e-05
287,287,3.023587326906101e-05
288,288,3.020627087500864e-05
289,289,3.024320673884016e-05
290,290,3.0281726086447152e-05
291,291,3.030462085007457e-05
292,292,3.0296177850258947e-05
293,293,3.03715122059015e-05
294,294,3.0353471736495575e-05
295,295,3.0396968962604125e-05
296,296,3.0361971552980214e-05
