,ep,loss
0,0,0.9232346135165852
1,1,0.8328978904622345
2,2,0.809232316705078
3,3,0.7956443033199536
4,4,0.7869306140737571
5,5,0.7813157314368387
6,6,0.7756053011407965
7,7,0.7719665890625814
8,8,0.7700974121395308
9,9,0.7650721242776501
10,10,0.7630275989709635
11,11,0.7618150887753181
12,12,0.7588939671459877
13,13,0.7576793295592659
14,14,0.755079025336405
15,15,0.7542275546096531
16,16,0.7523226252657623
17,17,0.751841632980603
18,18,0.7498134504193845
19,19,0.7482366316874508
20,20,0.7477073422062538
21,21,0.7461521517146718
22,22,0.745705833312551
23,23,0.7452613499324784
24,24,0.745802103530748
25,25,0.743323500448536
26,26,0.7421925930166433
27,27,0.7425098155326995
28,28,0.7409537036428339
29,29,0.7408624875686857
30,30,0.7403030897317667
31,31,0.7401282389173395
32,32,0.7372364597358251
33,33,0.7386805191341597
34,34,0.7374198747717816
35,35,0.7356098221224758
36,36,0.7354653746243051
37,37,0.735994809465446
38,38,0.7358538395331311
39,39,0.734842502081347
40,40,0.7342998611597205
41,41,0.7340195892827784
42,42,0.7327369698893883
43,43,0.7339482500619097
44,44,0.7309413549928326
45,45,0.7327627883598268
46,46,0.7322919269795475
47,47,0.7318882207154286
48,48,0.7308850806692372
49,49,0.7308793932552865
50,50,0.7307903307228691
51,51,0.7312040837857092
52,52,0.7297612730222257
53,53,0.730218629592021
54,54,0.7297534450240757
55,55,0.7299139150988915
56,56,0.7280105625687852
57,57,0.7293628103177067
58,58,0.7282827555426495
59,59,0.727868020298924
60,60,0.7281175229860388
61,61,0.727791857342475
62,62,0.7283971769065254
63,63,0.7269142710644266
64,64,0.7279358671116735
65,65,0.7277662443078082
66,66,0.7259663508343602
67,67,0.7267348837004348
68,68,0.7268686360521279
69,69,0.7261039935081843
70,70,0.724687813063384
71,71,0.7254472558677432
72,72,0.7254027177693816
73,73,0.7255926028541897
74,74,0.7256689985750221
75,75,0.7240363208672745
76,76,0.7238635592781036
77,77,0.7249209664084695
78,78,0.7237159897216224
79,79,0.7246664906207751
80,80,0.7232887761394968
81,81,0.7234902563302413
82,82,0.723709820287501
83,83,0.7246542982904336
84,84,0.7236933152195022
85,85,0.7238683521511997
86,86,0.7229988768166704
87,87,0.7229271340275941
88,88,0.7224267217010377
89,89,0.7218892546039325
90,90,0.7238388440825723
91,91,0.7229137910684578
92,92,0.7220962940468618
93,93,0.7220538635498921
94,94,0.7218329932378686
95,95,0.7207505785429431
96,96,0.722728714170192
97,97,0.720459206066584
98,98,0.7218874612815767
99,99,0.7215535640716553
100,100,0.7209222922212051
101,101,0.7219831024705186
102,102,0.7192583984065904
103,103,0.7198095312231614
104,104,0.7205277749672238
105,105,0.7209197914176307
106,106,0.7208678338367477
107,107,0.7196291845306577
108,108,0.718954123055982
109,109,0.7188609268354333
110,110,0.7196248995927954
111,111,0.7197718954840197
112,112,0.7205943846891049
113,113,0.7194033675043008
114,114,0.7203702752298046
115,115,0.7194003476926931
116,116,0.7202270820206804
117,117,0.7187522866509177
118,118,0.7196011682272899
119,119,0.7184090235016563
120,120,0.7184837969395483
121,121,0.7194647296615269
122,122,0.7184371425229099
123,123,0.7180598239182484
124,124,0.7174504389875962
125,125,0.7169977483070886
126,126,0.7181567891313153
127,127,0.7173239327230944
128,128,0.7167022781880948
129,129,0.7187508822900975
130,130,0.718083066902613
131,131,0.7179608712554449
132,132,0.7177620270977849
133,133,0.7183501960731777
134,134,0.7178410301095413
135,135,0.7174461215381095
136,136,0.7169741839759435
137,137,0.7175202970448219
138,138,0.7168893437140544
139,139,0.7174431936071796
140,140,0.7163477066477297
141,141,0.717306717111188
142,142,0.7175522458411959
143,143,0.7164438300924338
144,144,0.716814524100232
145,145,0.7161865295628785
146,146,0.7168784282895416
147,147,0.7162052336417639
148,148,0.7161053110488319
149,149,0.7160172999611957
150,150,0.7168128179467242
151,151,0.7163224062429586
152,152,0.7144609977134132
153,153,0.7160521953002267
154,154,0.7163484240237903
155,155,0.7163141138939989
156,156,0.7161255045370623
157,157,0.7171778905061865
158,158,0.716434764767824
159,159,0.7161814386665586
160,160,0.7155585783743575
161,161,0.7159722181176951
162,162,0.7146810988192501
163,163,0.7145689770638236
164,164,0.7151628742104934
165,165,0.7152772569373662
166,166,0.714935556230809
167,167,0.713698881416924
168,168,0.7152631497194645
169,169,0.7147322756499641
170,170,0.71525853047729
171,171,0.7146222664433506
172,172,0.7139904477850721
173,173,0.7130227515348804
174,174,0.7138221252105924
175,175,0.7160410134217484
176,176,0.7143864421976414
177,177,0.7142994288399286
178,178,0.7134990414140724
179,179,0.7143012930753203
180,180,0.714050634576398
181,181,0.714065935771927
182,182,0.7153999331911562
183,183,0.713597664719985
184,184,0.7144226893605922
185,185,0.7136996715907523
186,186,0.7124420866193507
187,187,0.7144121332130885
188,188,0.7138831240857543
189,189,0.713085235343149
190,190,0.7136130556758684
191,191,0.7133061874054166
192,192,0.7131931039655632
193,193,0.713592383465748
194,194,0.7136353650111926
195,195,0.7130092486091282
196,196,0.713171963399578
197,197,0.7130806641616368
198,198,0.7142549984068739
199,199,0.7131753097409788
200,200,0.7128162096611595
201,201,0.7135297820973302
202,202,0.7132470289709069
203,203,0.7128624939635808
204,204,0.7124537172996008
205,205,0.7138804491800753
206,206,0.7147563236504204
207,207,0.713387384245047
208,208,0.7125177668488544
209,209,0.7122286200052194
210,210,0.713847298631555
211,211,0.7123140659728069
212,212,0.7124662670222196
213,213,0.7120948290165234
214,214,0.713081028386067
215,215,0.7126581715972056
216,216,0.7107225595255614
217,217,0.7119057607273811
218,218,0.7118060979918529
219,219,0.7133929095720585
220,220,0.7119733439132631
221,221,0.712993412856528
222,222,0.7121783977911877
223,223,0.7131585382190146
224,224,0.7123591204876957
225,225,0.7125467794685967
226,226,0.7119737533712576
227,227,0.7120889580768087
228,228,0.7128818692425966
229,229,0.7122291705825112
230,230,0.7115663346565759
231,231,0.7114386346500382
232,232,0.7120009667788569
233,233,0.7130179600753331
234,234,0.712047480547381
235,235,0.7120469924018317
236,236,0.7121915866734954
237,237,0.7111477192211528
238,238,0.7114766918623401
239,239,0.7106874516830143
240,240,0.7117394885055632
241,241,0.7119301069866527
242,242,0.7120672473794387
243,243,0.7120808607975956
244,244,0.7119652355612502
245,245,0.7101392953292184
246,246,0.7107680258543595
247,247,0.7124977257883125
248,248,0.711580981850153
249,249,0.7117807038216722
250,250,0.711904682896354
251,251,0.7119103309665273
252,252,0.7104538533056206
253,253,0.7112385621183945
254,254,0.7120384041499714
255,255,0.711276189376243
256,256,0.7122655235260371
257,257,0.7108979590325487
258,258,0.7101283902707307
259,259,0.7119483014811641
260,260,0.7109844592720153
261,261,0.7114435919659882
262,262,0.7107094799577012
263,263,0.7114075377524606
264,264,0.711007384679063
265,265,0.7112156287012364
266,266,0.7110971063964452
267,267,0.7124246090297172
268,268,0.7097069046242906
269,269,0.7115406742680214
270,270,0.7105465404129783
271,271,0.7109051417456314
272,272,0.7117582872922241
273,273,0.7107774113477926
274,274,0.7107333823626221
275,275,0.7101384135103037
276,276,0.7104383094508657
277,277,0.7091667586164512
278,278,0.7102705805669189
279,279,0.710605124239865
280,280,0.7110716500301135
281,281,0.7105775001963137
